epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,436.409,2.09547,1.21041,1.09891,0.73825,0.80556,0.76736,0.26997,2.02939,1.09929,0.96642,0.0011684,0.0011684,0.0011684
44,446.298,2.1297,1.23433,1.14369,0.70138,0.80556,0.75146,0.29434,1.98044,1.10949,0.97083,0.0011486,0.0011486,0.0011486
45,456.706,2.12646,1.23525,1.10149,0.85311,0.86111,0.87069,0.34813,1.95,0.99492,0.97506,0.0011288,0.0011288,0.0011288
46,466.562,2.09404,1.25412,1.11527,0.67629,0.72222,0.63532,0.21157,2.24791,1.24009,1.0079,0.001109,0.001109,0.001109
47,476.916,2.05384,1.19944,1.09744,0.97198,0.96372,0.9634,0.41984,1.80881,0.95423,0.96828,0.0010892,0.0010892,0.0010892
48,486.807,2.06649,1.234,1.08595,0.9379,0.94444,0.92511,0.34387,1.95776,0.9976,0.9808,0.0010694,0.0010694,0.0010694
49,496.685,2.13056,1.24218,1.09955,0.93686,0.94444,0.9255,0.33761,1.96727,0.96808,0.96412,0.0010496,0.0010496,0.0010496
50,506.553,2.0528,1.21697,1.10026,0.95687,0.97222,0.95364,0.34124,1.91231,0.98583,0.96247,0.0010298,0.0010298,0.0010298
51,516.392,2.08578,1.23175,1.08126,0.95344,0.94444,0.9517,0.34858,1.92432,0.9776,0.96256,0.00101,0.00101,0.00101
52,526.738,2.08467,1.21505,1.08569,0.88351,0.86111,0.91509,0.32373,2.01403,1.05538,0.95864,0.0009902,0.0009902,0.0009902
53,536.586,2.08256,1.205,1.0871,0.97199,0.96407,0.95602,0.41104,1.90918,0.92682,0.96503,0.0009704,0.0009704,0.0009704
54,546.436,2.09108,1.19482,1.09583,0.76663,0.77778,0.75634,0.24339,2.1432,1.21627,0.99951,0.0009506,0.0009506,0.0009506
55,556.437,2.04512,1.20554,1.08637,0.96557,1,0.99446,0.42952,1.86209,0.93736,0.96546,0.0009308,0.0009308,0.0009308
56,567.302,2.10347,1.20375,1.08429,0.88358,0.88889,0.93847,0.33349,1.95859,1.0141,0.95817,0.000911,0.000911,0.000911
57,577.153,2.06845,1.19282,1.07321,0.80843,0.77778,0.84295,0.2919,1.96981,1.0775,0.97188,0.0008912,0.0008912,0.0008912
58,586.977,2.06132,1.15118,1.09247,0.90422,0.94444,0.9535,0.35729,1.85375,0.95259,0.95628,0.0008714,0.0008714,0.0008714
59,596.803,2.07218,1.15062,1.09778,0.93482,0.97222,0.96895,0.35846,1.83473,0.97495,0.95149,0.0008516,0.0008516,0.0008516
