epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,202.397,2.077,1.24833,1.07378,0.82979,0.94444,0.9366,0.36615,1.96044,1.00875,0.97065,0.0011882,0.0011882,0.0011882
43,211.85,2.0775,1.21533,1.07859,0.84681,0.88889,0.88802,0.29185,2.10393,1.11666,0.95459,0.0011684,0.0011684,0.0011684
44,221.245,2.11931,1.25887,1.11709,0.75563,0.88889,0.88932,0.2801,2.06362,1.18033,0.96723,0.0011486,0.0011486,0.0011486
45,230.616,2.12408,1.25422,1.08001,0.7772,0.96906,0.9078,0.36789,1.86365,1.01104,0.9586,0.0011288,0.0011288,0.0011288
46,239.413,2.07603,1.25584,1.09206,0.89085,0.907,0.96972,0.40945,1.88796,0.98281,0.95849,0.001109,0.001109,0.001109
47,243.905,2.04288,1.19729,1.07164,0.97282,0.99445,0.99149,0.42552,1.88294,0.91567,0.96355,0.0010892,0.0010892,0.0010892
48,248.283,2.06975,1.21884,1.06559,0.91835,0.94444,0.92218,0.37719,1.95543,0.94629,0.9674,0.0010694,0.0010694,0.0010694
49,252.672,2.14944,1.23952,1.08629,0.92044,0.96426,0.9817,0.38459,2.00756,1.01239,0.95865,0.0010496,0.0010496,0.0010496
50,257.121,2.0638,1.21038,1.08454,0.94513,0.95716,0.98082,0.38997,2.02028,0.96329,0.97234,0.0010298,0.0010298,0.0010298
51,261.504,2.07264,1.22949,1.05916,0.83849,0.86533,0.91801,0.30503,2.12206,1.10221,0.96003,0.00101,0.00101,0.00101
52,265.938,2.0924,1.24966,1.06657,0.74432,0.80874,0.85288,0.27552,2.12861,1.12592,0.96802,0.0009902,0.0009902,0.0009902
53,270.438,2.08326,1.24401,1.06665,0.91992,0.95754,0.92088,0.40436,1.87748,0.94408,0.95824,0.0009704,0.0009704,0.0009704
54,274.855,2.10314,1.22519,1.08133,0.89573,0.95472,0.95547,0.36464,1.97301,1.01086,0.96465,0.0009506,0.0009506,0.0009506
55,279.29,2.05971,1.23488,1.07265,0.92246,0.97222,0.97309,0.42427,1.85422,0.93392,0.95655,0.0009308,0.0009308,0.0009308
56,283.849,2.10524,1.20847,1.07353,0.84984,0.94444,0.91619,0.29353,2.11731,1.13349,0.96826,0.000911,0.000911,0.000911
57,288.367,2.08308,1.19985,1.05883,0.83453,0.98078,0.95341,0.35145,2.0242,0.99829,0.9667,0.0008912,0.0008912,0.0008912
58,292.806,2.04378,1.1739,1.06593,0.99097,1,0.995,0.43061,1.88858,0.90018,0.95615,0.0008714,0.0008714,0.0008714
59,297.25,2.0556,1.16808,1.06808,0.99307,1,0.995,0.42229,1.90089,0.95428,0.95656,0.0008516,0.0008516,0.0008516
60,301.646,2.07749,1.16679,1.04634,0.98095,1,0.995,0.40918,1.92873,0.95968,0.952,0.0008318,0.0008318,0.0008318
61,306.062,2.05803,1.20448,1.07755,0.94609,1,0.99228,0.4283,1.88672,0.95101,0.95532,0.000812,0.000812,0.000812
62,310.502,2.10846,1.22455,1.06919,0.9197,1,0.98722,0.39764,1.85739,0.9515,0.94692,0.0007922,0.0007922,0.0007922
63,314.924,2.11773,1.2068,1.06621,0.94677,0.98822,0.98097,0.40912,1.86384,0.97396,0.94719,0.0007724,0.0007724,0.0007724
64,319.355,2.07031,1.22361,1.0644,0.88151,0.97222,0.97628,0.39573,1.8557,0.98516,0.95579,0.0007526,0.0007526,0.0007526
65,323.75,2.03948,1.18063,1.07256,0.82193,0.89769,0.88904,0.31639,1.93585,1.06276,0.953,0.0007328,0.0007328,0.0007328
66,328.17,2.01365,1.16398,1.05589,0.86261,0.91667,0.93603,0.36008,1.9475,0.99492,0.9542,0.000713,0.000713,0.000713
67,332.636,2.03933,1.17689,1.08146,0.96379,0.97222,0.98048,0.37853,1.97009,0.98272,0.96937,0.0006932,0.0006932,0.0006932
